acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,Max Search Time Delta
0.172,['Redbone'],0.731,205933,0.804,0,7GVUmCP00eSsqc4tzj1sDD,0.00028,11,0.0685,-7.621,0,Come and Get Your Love - Single Version,76,1973-11-01,0.0473,107.383,0.957,1973,
0.524,['Shawn Mendes'],0.6920000000000001,190800,0.809,0,6LsAAHotRLMOHfCsSfYCsz,0.0,2,0.147,-4.198,1,If I Can't Have You,79,2019-05-03,0.0602,123.911,0.8640000000000001,2019,60566400.0
0.228,['Post Malone'],0.665,179613,0.498,1,5yuShbu70mtHXY0yLzCQLQ,0.0,5,0.0757,-8.185,1,Go Flex,78,2016-12-09,0.0832,81.96700000000001,0.127,2016,155174400.0
0.0008439999999999999,['Run–D.M.C.'],0.956,183427,0.72,0,6jBCehpNMkwFVF3dz4nLIW,0.0,11,0.0597,-13.476,0,It's Tricky,76,1986-05-15,0.13699999999999998,127.872,0.961,1986,426038400.0
0.768,['Taylor Swift'],0.604,275040,0.517,1,1XjHRolIXL2M1EEOUsGGR4,0.000155,0,0.123,-9.014,1,cowboy like me,79,2020-12-11,0.0347,127.967,0.511,2020,10454400.0
0.43,"['Kid Cudi', 'Skepta', 'Pop Smoke']",0.619,174960,0.589,1,5CFJRZRq6sdKKtRwNPWbYv,0.000392,1,0.378,-6.5310000000000015,1,Show Out (with Skepta & Pop Smoke),83,2020-12-11,0.124,143.89600000000004,0.158,2020,
0.00447,['Shinsei Kamattechan'],0.447,90960,0.8909999999999999,0,3tRPfCFAEv6wWyQO0YnGGV,0.000905,9,0.39,-4.776,1,Boku no Sensou - TV Size,78,2020-12-08,0.0788,143.976,0.517,2020,
0.012,"[""Olivia O'Brien""]",0.425,189125,0.743,1,37ZKB38iNyKJ0xYEz9SJgk,0.0,11,0.7090000000000001,-5.54,0,Josslyn,77,2020-05-15,0.14800000000000002,84.74799999999998,0.344,2020,31536000.0
0.0814,['Ariana Grande'],0.772,200733,0.506,1,0sci7ppTZFm4mjcH3nu8yO,1.1e-05,6,0.182,-6.558,0,nasty,77,2020-10-30,0.139,127.894,0.456,2020,186796800.0
0.047,"['Bebe Rexha', 'Florida Georgia Line']",0.643,163870,0.7829999999999999,0,7iDa6hUg2VgEL1o1HjmfBn,0.0,10,0.083,-6.4579999999999975,1,Meant to Be (feat. Florida Georgia Line),77,2017-08-11,0.0856,154.084,0.579,2017,
0.159,"['Eminem', 'White Gold']",0.7829999999999999,230399,0.586,1,2lPE6W6ONJKmBE6hLjpIYo,0.0,11,0.389,-8.068,0,Zeus (feat. White Gold),77,2020-12-18,0.204,177.024,0.312,2020,
0.284,"['Shakira', 'Wyclef Jean']",0.778,218093,0.8240000000000001,0,3ZFTkvIE7kyPt6Nu3PEa7V,0.0,10,0.405,-5.892,0,Hips Don't Lie (feat. Wyclef Jean),82,2005-11-28,0.0712,100.024,0.7559999999999999,2005,
0.0183,['Bryan Adams'],0.508,216053,0.8340000000000001,0,0GONea6G2XdnHWjNZd6zt3,0.0,2,0.0732,-6.205,1,Summer Of '69,80,1984-11-05,0.0386,139.131,0.774,1984,499651200.0
0.109,"['Martin Garrix', 'Bebe Rexha']",0.501,195707,0.519,0,23L5CiUhw2jV1OIMwthR3S,0.0,4,0.454,-5.88,0,In the Name of Love,78,2016-07-29,0.0409,133.99,0.168,2016,136684800.0
0.00428,['The Offspring'],0.55,177827,0.917,1,6TfBA04WJ3X1d1wXhaCFVT,0.0,0,0.197,-3.159,1,"You're Gonna Go Far, Kid",79,2008-06-17,0.0638,126.115,0.601,2008,
0.00829,"['Machine Gun Kelly', 'Trippie Redd']",0.7440000000000001,156719,0.638,1,37AGgp9VP8TVJBfEat74Bj,0.0,5,0.182,-4.86,0,Candy (feat. Trippie Redd),76,2019-07-05,0.049,98.019,0.48,2019,
0.5429999999999999,['The Police'],0.82,253920,0.452,0,1JSTJqkT5qHq8MDJnJbRE1,0.00294,1,0.0714,-9.796,1,Every Breath You Take,84,1983-06-17,0.0348,117.401,0.74,1983,0.0
0.00237,['Arctic Monkeys'],0.52,253587,0.852,0,58ge6dfP91o9oXMzq3XkIS,5.79e-05,0,0.0733,-5.8660000000000005,1,505,77,2007-04-24,0.0543,140.267,0.234,2007,336614400.0
0.617,"['Lil Uzi Vert', 'Oh Wonder']",0.703,221747,0.757,1,2eAZfqOm4EnOF9VvN50Tyc,0.0,1,0.106,-3.612,1,The Way Life Goes (feat. Oh Wonder),77,2017-08-25,0.05,82.008,0.696,2017,
0.193,['Panic! At The Disco'],0.579,190947,0.904,0,1rqqCSm0Qe4I9rUvWncaom,0.0,5,0.064,-2.729,1,High Hopes,83,2018-06-22,0.0618,82.014,0.6809999999999999,2018,73612800.0
0.66,"['Social House', 'Lil Yachty']",0.769,164640,0.479,0,2Yer0p7uB2lVBUAtANuuQp,0.0,1,0.0914,-5.339,1,Magic In The Hamptons (feat. Lil Yachty),79,2018-06-08,0.0385,96.051,0.8029999999999999,2018,
0.00824,['Megan Thee Stallion'],0.821,154324,0.863,1,6WbTTAGKrQtCQvmc5BuYfh,0.0,6,0.0377,-3.159,1,Girls in the Hood,78,2020-06-26,0.353,180.013,0.8740000000000001,2020,23673600.0
0.768,['XXXTENTACION'],0.735,129720,0.197,1,2yZax79pOrYuyIFVW2cZY2,0.000276,3,0.29600000000000004,-13.378,0,Carry On,77,2017-08-25,0.537,147.899,0.383,2017,57888000.0
0.016,"['Megan Thee Stallion', 'Beyoncé']",0.8220000000000001,242001,0.743,1,5v4GgrXPMghOnBBLmveLac,0.0,10,0.127,-4.772,0,Savage Remix (feat. Beyoncé),79,2020-04-29,0.28,84.459,0.636,2020,
0.055,['Lil Uzi Vert'],0.7709999999999999,224955,0.654,1,56uXDJRCuoS7abX3SkzHKQ,0.0,8,0.214,-6.976,0,Myron,79,2020-03-13,0.298,155.047,0.573,2020,202435200.0
0.0563,['Lund'],0.83,200673,0.583,1,4W8sUeokQKfHt1uTXp0Jq0,0.0005,0,0.109,-2.052,1,Broken,78,2020-04-17,0.0412,134.0,0.146,2020,252460800.0
0.894,"['Kina', 'Adriana Proenza']",0.522,187932,0.128,0,58wyJLv6yH1La9NIZPl3ne,0.026,4,0.0941,-18.717,1,Can We Kiss Forever?,82,2018-08-31,0.0357,109.986,0.124,2018,13046400.0
0.00021,['Machine Gun Kelly'],0.5329999999999999,205159,0.858,1,6mADjHs6FXdroPzEGW6KVJ,0.0,2,0.14800000000000002,-4.212,1,bloody valentine,79,2020-09-25,0.0766,160.05700000000004,0.506,2020,386467200.0
0.0187,"['Pop Smoke', 'A Boogie Wit da Hoodie']",0.905,190534,0.647,1,2r6OAV3WsYtXuXjvJ1lIDi,0.0,10,0.282,-5.065,0,Hello (feat. A Boogie Wit da Hoodie),87,2020-07-20,0.107,130.97,0.3670000000000001,2020,
0.787,['Post Malone'],0.412,257267,0.227,1,35r28RDot7nPE7y9K9H7l0,4.69e-06,0,0.282,-12.696,1,Feeling Whitney,79,2016-12-09,0.0359,80.111,0.226,2016,107740800.0
0.0725,['$uicideBoy$'],0.8490000000000001,111020,0.648,1,4irYeuAi87yyGHcI4h9s0x,0.00592,7,0.0984,-6.188,1,Paris,76,2015-11-20,0.0832,106.075,0.196,2015,170899200.0
0.281,['Lil Tjay'],0.857,162453,0.4270000000000001,1,5JtvedSVWW9McnoEAPJwQm,0.0,8,0.108,-8.638,1,Sex Sounds,80,2019-10-11,0.112,130.033,0.366,2019,533865600.0
0.835,['Taylor Swift'],0.6890000000000001,180653,0.7040000000000001,0,35rdVq36LMHQX0Suw9a6tK,4.83e-06,9,0.134,-10.813,1,closure,77,2020-12-11,0.245,151.884,0.92,2020,34214400.0
0.0412,"['Regard', 'RAYE']",0.848,176767,0.768,1,66W1rVTnEv86dIkFhoiElg,0.000785,6,0.195,-5.386,0,Secrets,82,2020-04-24,0.0373,118.961,0.777,2020,420768000.0
0.0208,['Flo Rida'],0.747,224653,0.937,0,3bC1ahPIYt1btJzSSEyyrF,0.0,0,0.29,-5.746,1,Whistle,77,2012-06-22,0.0453,103.976,0.7390000000000001,2012,273456000.0
