id,acousticness,name,artists,danceability,duration_ms,energy,explicit,instrumentialness key,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,valence,year,Sampled Times,CoveredTimes,Remix Times,Remix of ,Sample of,Cover Of
5Sc05HxzSAEKPSkwaXSmQ9,0.891,"Ohne Sorgen, Polka schnell, Op. 271","['Josef Strauss', 'Riccardo Muti', 'Wiener Philharmoniker']",0.4,113933,0.547,0,0.63,0,0.0663,-12.044,1,33,2021-01-08,0.0467,166.178,0.857,2021,-1,-1,-1,-1,-1,-1
4obHzpwGrjoTuZh2DItEMZ,0.417,7 Summers,['Morgan Wallen'],0.466,210507,0.786,0,6.10E-05,0,0.125,-5.13,1,77,2021-01-08,0.0328,203.903,0.571,2021,-1,-1,-1,-1,-1,-1
1H25P0ASmAz4NMmfa000aG,0.0279,New Year 2021,['NOIZ'],0.442,174733,0.604,0,0,2,0.16,-11.696,1,0,2021-01-21,0.449,187.877,0.403,2021,-1,-1,-1,-1,-1,-1
1H25P0ASmAz4NMmfa000aG,0.0279,New Year 2021,['NOIZ'],0.442,174733,0.604,0,0,2,0.16,-11.696,1,0,2021-01-21,0.449,187.877,0.403,2021,-1,-1,-1,-1,-1,-1
01FvQEvHETjWqcDpQDJdTb,0.247,Your Bartender,['Morgan Wallen'],0.555,185093,0.771,0,7.26E-05,4,0.149,-5.237,1,75,2021-01-08,0.0282,139.971,0.442,2021,-1,-1,-1,-1,-1,-1
5ZH6LpaSV0rmkr6RkLngqI,0.936,"Schallwellen, Walzer, Op. 148","['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']",0.316,670947,0.108,0,0.859,0,0.0785,-18.232,1,33,2021-01-08,0.0375,101.673,0.188,2021,-1,-1,-1,-1,-1,-1
5ZH6LpaSV0rmkr6RkLngqI,0.936,"Schallwellen, Walzer, Op. 148","['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']",0.316,670947,0.108,0,0.859,0,0.0785,-18.232,1,33,2021-01-08,0.0375,101.673,0.188,2021,-1,-1,-1,-1,-1,-1
6HsXpHn2s6S9arU3Wy7ndc,0.603,Whiskey’d My Way,['Morgan Wallen'],0.443,180787,0.518,0,0.00225,2,0.0984,-6.373,1,75,2021-01-08,0.0266,185.764,0.323,2021,-1,-1,-1,-1,-1,-1
0mKnuxVkPi5h0kuvZl44VM,0.232,Cover Me Up,['Morgan Wallen'],0.549,293707,0.44,0,7.37E-06,7,0.107,-8.192,1,76,2021-01-08,0.0264,128.01,0.214,2021,-1,-1,-1,-1,-1,1
2NK6dtSujGIyilnEgbw8MX,0.572,Outlaw (feat. Ben Burgess),"['Morgan Wallen', 'Ben Burgess']",0.505,229747,0.63,0,0,7,0.121,-5.758,1,75,2021-01-08,0.0274,85.036,0.247,2021,-1,-1,-1,-1,-1,-1
2p6hbwOB2u5hI4Uc8FDNL3,0.244,Wonderin’ Bout The Wind,['Morgan Wallen'],0.481,182227,0.715,0,0,6,0.133,-5.626,1,75,2021-01-08,0.0334,90.966,0.395,2021,-1,-1,-1,-1,-1,-1
